Software,RP Name
libxkbcommon,Rockfish
libxml2,"Anvil, ACES, Rockfish"
libxml2-2.9.10-gcc-9.3.0-pwkeovr,KyRIC
libxslt,ACES
libxsmm,"ACES, Rockfish"
libyaml,ACES
lifelines,ACES
likwid,"OOKAMI, KyRIC"
linaro,OOKAMI
linasm,Rockfish
LittleCMS,ACES
lldb,OOKAMI
LLVM,"OOKAMI, ACES, Delta, Rockfish"
LMDB,ACES
lmod,"Stampede-2, ACES"
localres,Rockfish
loki,Stampede-2
lowcharts,Bridges-2
LS-DYNA,"Stampede-2, Rockfish"
LSMS,Bridges-2
ltools,Stampede-2
lua,"Expanse, OOKAMI, ACES"
luatools,Stampede-2
Lumerical,DARWIN
lvm2-2.03.05-gcc-9.3.0-nkbdv7u,KyRIC
lxml,ACES
lz4,"OOKAMI, ACES"
M4,ACES
m4-1.4.18-gcc-9.3.0-ry5xd5i,KyRIC
maeparser,ACES
Magics,ACES
magma,ACES
make,"KyRIC, ACES"
makeinfo,ACES
Mako,ACES
mamba,Rockfish
map_skx,Stampede-2
MARCC_intel,Rockfish
MARS,Rockfish
Mathematica,"Stampede-2, DARWIN, Rockfish"
MATIO,ACES
MATLAB,"Jetstream2, Expanse, OOKAMI, Stampede-2, DARWIN, Bridges-2, Rockfish"
matlab_unlicensed,Delta
Matplotlib,"DARWIN, ACES"
maven,Rockfish
MCell,Bridges-2
mcr,Stampede-2
mdanalysis,Rockfish
meep,Stampede-2
megalodon,Rockfish
MELT,Rockfish
MEME Suite,Bridges-2
MemoryViewer,ACES
mercurial,"Expanse, OOKAMI"
Mesa,"ACES, Rockfish, Rockfish"
Meson,ACES
Methylpy,Bridges-2
metis,"Stampede-2, ACES, Rockfish"
Miniconda3,ACES
MKL,"KyRIC, Bridges-2"
mkl32,KyRIC
mkmod,Stampede-2
modtree,Delta
module-git,OOKAMI
module-info,OOKAMI
MONAI,ACES
Mongo,Jetstream2
monitor,Anvil
morpheus,Rockfish
motif,ACES
mpc,"Anvil, Rockfish"
mpc-1.1.0-gcc-9.3.0-vqwlz4l,KyRIC
mpfr,"OOKAMI, Anvil, ACES, Rockfish"
mpfr-4.0.2-gcc-9.3.0-qfh5u7a,KyRIC
MPI,"KyRIC, DARWIN, Bridges-2"
Mpi4py,"OOKAMI, DARWIN, ACES"
mpiBench,Rockfish
mpich,"OOKAMI, KyRIC, Delta"
msrsync,Rockfish
mummer,Rockfish
mumps,"Stampede-2, ACES"
MVAPICH,Bridges-2
mvapich-3.0b_s11,Delta
mvapich2,"OOKAMI, KyRIC"
mvapich2-3.0a_s11,Delta
mysql,"Jetstream2, Rockfish"
NAMD,"OOKAMI, Stampede-2, DARWIN, Bridges-2, Rockfish"
namd3,Delta
nanopolish,Rockfish
NASM,ACES
ncbi-vdb,ACES
NCCL,ACES
ncdf4,Rockfish
Ncdu,"OOKAMI, Bridges-2, Rockfish"
ncl_ncarg,Stampede-2
nco,"Stampede-2, ACES, Rockfish"
ncurses,"OOKAMI, ACES, Rockfish"
ncurses-6.2-gcc-9.3.0-mntyciy,KyRIC
ncview,"Stampede-2, Anvil, Bridges-2, Rockfish"
netcdf,"OOKAMI, Stampede-2, Anvil, ACES"
netcdf-c,"Anvil, Delta, Rockfish"
netCDF-C++4,ACES
netcdf-cxx4,Anvil
netcdf-fortran,"Anvil, ACES, Delta, Rockfish"
netcdf4-python,ACES
netlib-lapack,"Anvil, Rockfish"
netlib-scalapack,Rockfish
netpbm,Rockfish
nettle,ACES
networkx,ACES
nextflow,"Bridges-2, Rockfish, Rockfish"
ngmlr,Rockfish
NiBabel,ACES
ninja,"OOKAMI, ACES"
nlohmann_json,ACES
NLopt,ACES
nodejs,ACES
NSPR,ACES
NSS,ACES
nsync,ACES
null,OOKAMI
numactl,"Anvil, ACES, Rockfish"
numactl-2.0.14-gcc-9.3.0-x4anv2g,KyRIC
numba,ACES
numpy,Bridges-2
