Software,RP Name,Software's Web Page,Software Documentation,Tutorials,
DDT,"Stampede-2, Bridges-2",,,,Links Defunct
ddt_knl,Stampede-2,,,,
ddt_skx,Stampede-2,,,,
deal.ii,Bridges-2,https://www.dealii.org/,https://www.dealii.org/developer/doxygen/deal.II/index.html,"https://www.dealii.org/developer/doxygen/deal.II/step_1.html , https://www.dealii.org/developer/doxygen/deal.II/step_2.html ",
dealii,Stampede-2,,,,
debugger,KyRIC,,,,No File
deepdiff,ACES,https://github.com/seperman/deepdiff,https://deepdiff.readthedocs.io/en/latest/,,
DeepLabCut,Rockfish,,,,No File
deeptools,Stampede-2,https://deeptools.readthedocs.io/en/develop/,https://deeptools.readthedocs.io/en/develop/content/list_of_tools.html,https://deeptools.readthedocs.io/en/develop/content/example_usage.html,
default,Delta,,,,No File
default-environment,Expanse,,,,No File
dev-utilities,KyRIC,,,,No File
dftd4,Rockfish,https://github.com/dftd4/dftd4/,https://github.com/dftd4/dftd4/blob/main/README.md,,
diffutils-3.7-gcc-9.3.0-sk5ev4k,KyRIC,https://www.gnu.org/software/diffutils/,https://www.gnu.org/software/diffutils/manual/diffutils.html,https://www.gnu.org/software/diffutils/manual/html_node/Invoking-diff.html#Invoking-diff,
dill,ACES,https://pypi.org/project/dill/,https://dill.readthedocs.io/en/latest/,,
dimemas,KyRIC,https://tools.bsc.es/dimemas,https://tools.bsc.es/tools_manuals#dimemas,,
dm-tree,ACES,,,,Links Defunct
dmtcp,Rockfish,https://dmtcp.sourceforge.io/,https://dmtcp.sourceforge.io/FAQ.html,https://github.com/dmtcp/dmtcp/blob/master/doc/plugin-tutorial.pdf,
dnnl,KyRIC,,https://oneapi-src.github.io/oneDNN/,https://github.com/oneapi-src/oneDNN/tree/main/examples,
dnnl-cpu-gomp,KyRIC,,,,
dnnl-cpu-iomp,KyRIC,,,,
dnnl-cpu-tbb,KyRIC,,,,
dorado,ACES,,https://dorado.readthedocs.io/en/latest/,,
dos2unix,Delta,https://waterlan.home.xs4all.nl/dos2unix.html,https://linux.die.net/man/1/dos2unix,,
dot,OOKAMI,,,,No File
double-conversion,ACES,,,,No File
doxygen,"OOKAMI, ACES, Rockfish",https://www.doxygen.nl/,https://www.doxygen.nl/manual/index.html,https://www.youtube.com/watch?v=LZ5E4vEhsKs,
dpct,KyRIC,,,,Links Defunct
dpl,KyRIC,,,,No File
dream3d,Rockfish,https://dream3d.bluequartz.net/,,,
DReAMM,Bridges-2,,,,No File
Dsuite,Rockfish,https://github.com/millanek/Dsuite,https://github.com/millanek/Dsuite#readme,,
EasyBuild,"KyRIC, ACES",https://easybuild.io/,https://easybuild.readthedocs.io/en/latest/,,
EasyBuild-aces,ACES,,,,
EasyBuild-aces-myeb,ACES,,,,
EasyBuild-aces-SCRATCH,ACES,,,,
EasyBuild-aces-tmp,ACES,,,,
ecBuild,ACES,https://github.com/ecmwf/ecbuild,,,
ecCodes,ACES,,,,No File
eckit,Rockfish,,,,Links Defunct
edgeR,Rockfish,https://bioconductor.org/packages/release/bioc/html/edgeR.html,https://bioconductor.org/packages/release/bioc/vignettes/edgeR/inst/doc/edgeRUsersGuide.pdf,,
eigen,"Stampede-2, Anvil, ACES",http://eigen.tuxfamily.org/,https://eigen.tuxfamily.org/dox/,https://eigen.tuxfamily.org/dox/GettingStarted.html,
einops,ACES,https://github.com/arogozhnikov/einops,https://einops.rocks/,https://einops.rocks/1-einops-basics/,
elemental,Stampede-2,,,,
elfutils,ACES,https://sourceware.org/elfutils/,https://sourceware.org/elfutils/Debuginfod.html,https://sourceware.org/elfutils/Debuginfod.html#Debuginfod-Clients,
elpa,"OOKAMI, ACES",https://elpa.mpcdf.mpg.de/,,,
emacs,"Anvil, Rockfish",https://www.gnu.org/software/emacs/,https://www.gnu.org/software/emacs/manual/emacs.html,https://www.youtube.com/watch?v=49kBWM3RQQ7,
ensembl-vep,Rockfish,https://useast.ensembl.org/info/docs/tools/vep/index.html,https://useast.ensembl.org/info/docs/tools/vep/script/vep_tutorial.html,https://useast.ensembl.org/info/docs/tools/vep/script/vep_options.html,
entrezdirect,Expanse,,,,No File
ESMF,ACES,,,,Links Defunct
expat,"ACES, Rockfish",,,,No File
expat-2.2.10-gcc-9.3.0-dola2tn,KyRIC,,,,
expecttest,ACES,,,,No File
extrae,KyRIC,https://tools.bsc.es/extrae,,,
FASTA-Splitter,Bridges-2,,https://blast.ncbi.nlm.nih.gov/doc/blast-topics/,,
fastai,ACES,https://www.fast.ai/,https://docs.fast.ai/,"https://course.fast.ai/,https://course18.fast.ai/ml,https://course19.fast.ai/part2,https://ethics.fast.ai/,https://www.youtube.com/channel/UCX7Y2qWriXpqocG97SFW2OQ",
FastANI,Bridges-2,https://github.com/ParBLiSS/FastANI,https://github.com/ParBLiSS/FastANI/blob/master/README.md,,
FASTQ-Splitter,Bridges-2,,,,Links Defunct
